mgra,TAZ,hh,pop,emp_self,emp_ag,emp_const_non_bldg_prod,emp_const_non_bldg_office,emp_utilities_prod,emp_utilities_office,emp_const_bldg_prod,emp_const_bldg_office,emp_mfg_prod,emp_mfg_office,emp_whsle_whs,emp_trans,emp_retail,emp_prof_bus_svcs,emp_prof_bus_svcs_bldg_maint,emp_pvt_ed_k12,emp_pvt_ed_post_k12_oth,emp_health,emp_personal_svcs_office,emp_amusement,emp_hotel,emp_restaurant_bar,emp_personal_svcs_retail,emp_religious,emp_pvt_hh,emp_state_local_gov_ent,emp_scrap_other,emp_fed_non_mil,emp_fed_mil,emp_state_local_gov_blue,emp_state_local_gov_white,emp_public_ed,emp_own_occ_dwell_mgmt,emp_fed_gov_accts,emp_st_lcl_gov_accts,emp_cap_accts,emp_total,collegeEnroll,otherCollegeEnroll,AdultSchEnrl,EnrollGradeKto8,EnrollGrade9to12,PrivateEnrollGradeKto8,ech_dist,hch_dist,parkarea,hstallsoth,hstallssam,hparkcost,numfreehrs,dstallsoth,dstallssam,dparkcost,mstallsoth,mstallssam,mparkcost,TotInt,DUDen,EmpDen,PopDen,RetEmpDen,IntDenBin,EmpDenBin,DuDenBin,POINT_X,POINT_Y,ACRES,HotelRoomTotal,mall_flag,beachAcres
2943,3743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.23,0.63,9.98,0.02,1,1,1,857222.53,525095.74,199.5,0,0,0
2944,3744,0,0,0,0,0,0,0,0,0,0,43,0,35,414,237,562,0,0,13,310,266,50,0,200,0,0,0,58,0,0,0,0,0,0,0,0,0,0,2188,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.01,1,1,1,853109.42,529753.33,1237.61,0,0,0
2945,3744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4.25,0.55,14.57,0.17,1,1,1,849642.61,527116.77,1.05,0,0,0
2946,3744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4.56,0.44,15.38,0.18,1,1,1,852248.42,527123.23,1.96,0,0,0
2947,3745,169,622,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.29,1.06,10.93,0.01,1,1,1,850041.1,522857.5,35.92,0,0,0
2948,3745,315,935,0,0,0,0,0,0,0,0,0,0,7,0,1,11,0,0,0,140,3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,188,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.77,0.73,12.65,0.1,1,1,1,849701.65,524125.99,56.57,0,0,0
2949,3745,160,707,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.65,0.82,11.94,0.01,1,1,1,848735.74,522819.08,44.29,0,0,0
2950,3745,115,539,0,0,9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4.19,0.9,14.01,0.15,1,1,1,848334.76,525225.83,53.2,0,0,0
2951,3745,373,1196,0,0,0,0,0,0,0,0,4,0,0,0,40,15,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4.37,0.85,14.88,0.13,1,1,1,849768.52,526365.23,74.87,0,0,0
2952,3745,313,972,0,0,7,0,0,0,0,0,3,0,0,0,1,15,0,0,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4.42,0.78,15.06,0.12,1,1,1,849839.05,525223.76,53.52,0,0,0
