TAZ_REG,TAZ_OLD05,TAZ_MPO,COUNTY,CENSUSTAZ,TAZ_BF,FIX,AREA,F_NETAREA,CBD,HM_ROOMS
1213,1213,1213,1,,0,0,1191290.00000000000,0.85630,0,0
189,189,189,1,,0,0,1518080.00000000000,0.84100,0,0
1218,1218,1218,1,,0,0,1194270.00000000000,0.94760,0,0
1217,1217,1217,1,,0,0,869514.00000000000,0.67350,0,0
1219,1219,1219,1,,0,0,2171030.00000000000,0.69070,0,0
1216,1216,1216,1,,0,0,1121200.00000000000,0.70180,0,0
190,190,190,1,,0,0,3886050.00000000000,0.69500,0,0
1220,1220,1220,1,,0,0,1129590.00000000000,0.70550,0,0
1198,1198,1198,1,,0,0,3169280.00000000000,0.82890,0,0
1197,1197,1197,1,,0,0,3659470.00000000000,0.84490,0,0
1199,1199,1199,1,,0,0,1852500.00000000000,0.88470,0,0
169,169,169,1,,0,0,5729330.00000000000,0.68850,0,0
1108,1108,1108,1,,0,0,1343780.00000000000,0.42830,1,0
1550,1550,1550,1,,0,0,512355.00000000000,0.43830,0,0
183,183,183,1,,0,0,1522810.00000000000,0.85380,0,0
1208,1208,1208,1,,0,0,2487550.00000000000,0.74760,0,0
1211,1211,1211,1,,0,0,841371.00000000000,0.72010,0,0
186,186,186,1,,0,0,1458330.00000000000,0.76040,0,0
1212,1212,1212,1,,0,0,2980180.00000000000,0.60450,0,0
1233,1233,1233,1,,0,0,359031.00000000000,0.80490,0,0
1231,1231,1231,1,,0,0,618684.00000000000,0.75940,0,0
1230,1230,1230,1,,0,0,354781.00000000000,0.83480,0,0
1229,1229,1229,1,,0,0,2119300.00000000000,0.68540,0,0
1228,1228,1228,1,,0,0,1188170.00000000000,0.65540,0,0
195,195,195,1,,0,0,1052990.00000000000,0.70680,0,0
1232,1232,1232,1,,0,0,2266200.00000000000,0.72640,0,0
1226,1226,1226,1,,0,0,279645.00000000000,0.55790,0,0
1227,1227,1227,1,,0,0,362601.00000000000,0.73740,0,0
194,194,194,1,,0,0,1545240.00000000000,0.71740,1,0
1225,1225,1225,1,,0,0,493642.00000000000,0.68730,0,0
1224,1224,1224,1,,0,0,374890.00000000000,0.67310,0,0
1554,1554,1554,1,,0,0,214503.00000000000,0.60330,0,0
1553,1553,1553,1,,0,0,322317.00000000000,0.70210,0,0
1551,1551,1551,1,,0,0,543702.00000000000,0.72440,0,0
1109,1109,1109,1,,0,0,1262950.00000000000,0.26330,1,0
1207,1207,1207,1,,0,0,2013500.00000000000,0.73550,0,19
182,182,182,1,,0,0,1477500.00000000000,0.83820,0,135
1206,1206,1206,1,,0,0,2612850.00000000000,0.79390,0,0
1616,1616,1616,1,,0,0,1779100.00000000000,0.76650,0,0
1680,1680,1680,1,,0,0,14983800.00000000000,0.92350,0,0
1681,1681,1681,1,,0,0,55073500.00000000000,0.92410,0,0
1612,1612,1612,1,,0,0,11090500.00000000000,0.88850,0,0
1670,1670,1670,1,,0,0,13754200.00000000000,0.89440,0,0
166,166,166,1,,0,0,3875050.00000000000,0.81860,0,0
1194,1194,1194,1,,0,0,878214.00000000000,0.81210,0,0
1195,1195,1195,1,,0,0,2399620.00000000000,0.89740,0,0
1196,1196,1196,1,,0,0,4027880.00000000000,0.79200,0,0
167,167,167,1,,0,0,3836980.00000000000,0.65490,0,0
163,163,163,1,,0,0,703366.00000000000,0.75040,0,160
1191,1191,1191,1,,0,0,1029810.00000000000,0.85760,0,0
1192,1192,1192,1,,0,0,761649.00000000000,0.85520,0,0
177,177,177,1,,0,0,696950.00000000000,0.81580,0,106
1203,1203,1203,1,,0,0,1025910.00000000000,0.86460,0,0
1204,1204,1204,1,,0,0,588402.00000000000,0.90560,0,0
1557,1557,1557,1,,0,0,177178.00000000000,0.63220,1,0
1556,1556,1556,1,,0,0,174232.00000000000,0.68490,1,0
193,193,193,1,,0,0,91288.50000000000,0.50210,1,0
1222,1222,1222,1,,0,0,130551.00000000000,0.58300,1,0
1223,1223,1223,1,,0,0,131255.00000000000,0.76150,1,0
1221,1221,1221,1,,0,0,1027910.00000000000,0.19400,1,0
1205,1205,1205,1,,0,0,2035670.00000000000,0.93780,0,0
178,178,178,1,,0,0,5488750.00000000000,0.77220,0,0
1234,1234,1234,1,,0,0,359595.00000000000,0.68500,0,0
196,196,196,1,,0,0,335262.00000000000,0.55480,1,0
1236,1236,1236,1,,0,0,199640.00000000000,0.63590,1,0
1235,1235,1235,1,,0,0,211555.00000000000,0.66820,0,0
1210,1210,1210,1,,0,0,1090590.00000000000,0.78340,0,347
198,198,198,1,,0,0,210250.00000000000,0.82730,1,33
1251,1251,1251,1,,0,0,209920.00000000000,0.80330,1,0
1252,1252,1252,1,,0,0,204275.00000000000,0.86060,1,0
1257,1257,1257,1,,0,0,204528.00000000000,0.85520,1,0
1246,1246,1246,1,,0,0,198526.00000000000,0.70420,1,0
1250,1250,1250,1,,0,0,199454.00000000000,0.78770,1,0
1253,1253,1253,1,,0,0,194069.00000000000,0.76360,1,39
1254,1254,1254,1,,0,0,386369.00000000000,0.74900,1,0
1255,1255,1255,1,,0,0,385929.00000000000,0.79540,1,0
1248,1248,1248,1,,0,0,227789.00000000000,0.67900,1,0
1256,1256,1256,1,,0,0,194056.00000000000,0.75210,1,0
1549,1549,1549,1,,0,0,1642130.00000000000,0.85790,0,0
1107,1107,1107,1,,0,0,3004790.00000000000,0.79850,0,0
1548,1548,1548,1,,0,0,2454070.00000000000,0.79710,0,0
165,165,165,1,,0,0,3957840.00000000000,0.84020,0,0
1193,1193,1193,1,,0,0,2223720.00000000000,0.90100,0,0
1558,1558,1558,1,,0,0,201213.00000000000,0.72300,1,0
1111,1111,1111,1,,0,0,211506.00000000000,0.64500,1,0
1560,1560,1560,1,,0,0,205799.00000000000,0.67420,1,0
