"ID","Length","Dir","A","B","CONUM","DISTANCE","SCREENLINE","NUM_LANES","TWOWAY","DIRCODE","LOCATION","SEGID","CARTOLL","SVCMINUTES","SVCSECONDS","FTC2","DIVIDED","LEFTTURN","TDSECID","HOT","REVERSIBLE","ISTOLL","COUNT10","ISRCTOLLLI","ISREQTLINK","FTG","ATG","CNT10_EA","CNT10_AM","CNT10_MID","CNT10_PM","CNT10_EVE","CNT10_TRK","LOCTN","AM_VCLOSE","OF_VCLOSE","PM_VCLOSE","CYCLELENGT","RMPMTRIND","RIGHTTURN","AUXLNDIST","FTC1","CAPACITY_D","CAPACITY","CONFAC24H","BPRCOEFFIC","BPREXPONEN","CONFACAMP","CONFACPMP","CONFACOFP","LOSCCAP","LOSCCAP_AM","LOSCCAP_PM","LOSCCAP_OF","TOLL_ACC","TOLL_DEC","RCTOLL","FFSPD","POSTEDSPEE","FREEFLOWSP","POSTEDTIME","FREEFLOWTI","TIME","NB_95X","SB_95X","AM_CONGTIM","OF_CONGTIM","PM_CONGTIM","AM_TRK","PM_TRK","OF_TRK","DAY_V_1","EA_V_1","AM_V_1","MD_V_1","PM_V_1","EV_V_1","AM_V","MD_V","PM_V","EV_V","EA_V","DAY_TRK","AM_DAVOL","AM_SR2VOL","AM_SR3VOL","PM_DAVOL","PM_SR2VOL","PM_SR3VOL","OF_DAVOL","OF_SR2VOL","OF_SR3VOL","CNT_TOT","CNT_Diff","pb_count_locations","index_label"
1792,0.103060,0,998,999,3,0.103100,99,3,1,0,3,723,0.000000,0,0,41,1,1,47,0,0,0,22250,0,0,4,3,1882,3628,8032,5759,2949,0,1020,0.530330,0.703220,0.748540,60,0,0,0,40,2706.000000,2859.000000,0.083920,0.550000,5.050000,0.343330,0.343330,0.115000,2573.100000,7494.538570,7494.538570,22374.783200,0,0,0.079000,31.229220,40.000000,31.230000,0.154650,0.198080,0.198080,0,0,0.202510,0.216490,0.223310,312.896610,446.355990,869.929200,23802.925780,2153.685060,3634.055660,8725.364260,6197.021480,3092.800290,3790.503910,9047.297850,6420.199220,3152.935060,2206.580570,1629.181760,2940.868410,288.678280,91.612390,4441.375490,944.186160,365.103820,10441.586910,2043.944950,616.388730,22250,0,6,3
1824,0.122279,0,1007,1008,3,0.122300,99,2,1,0,3,723,0.000000,0,0,41,1,1,47,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1030,0.642360,0.731410,0.805890,60,0,0,0,40,1788.000000,1888.000000,0.083920,0.550000,5.050000,0.343330,0.343330,0.115000,1699.200000,4949.174320,4949.174320,14775.652340,0,0,0.079000,31.229220,40.000000,31.230000,0.183450,0.234970,0.234970,0,0,0.248790,0.261600,0.278420,287.778750,414.246830,724.545350,16816.001950,1514.620970,2888.026610,5944.992190,4357.409670,2110.953130,3031.916020,6214.034670,4564.532710,2162.797360,1556.006960,1426.570920,2317.327150,217.913740,65.006970,3130.713380,593.215090,219.234300,7257.476070,1217.953980,370.590700,0,0,8,4
1877,0.252570,0,1022,1023,3,0.252600,99,2,1,0,3,723,0.000000,0,0,41,1,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1036,0.471400,0.652560,0.788620,60,0,0,0,40,1788.000000,1888.000000,0.083920,0.550000,5.050000,0.343330,0.343330,0.115000,1699.200000,4949.174320,4949.174320,14775.652340,0,0,0.079000,31.229220,40.000000,31.230000,0.378900,0.485300,0.485300,0,0,0.491290,0.516220,0.565760,278.958250,319.642580,672.929930,18080.853520,4038.604000,2085.534180,5301.481450,4306.917480,2348.316160,2225.013180,5544.143070,4466.738770,2393.363530,4087.359620,1271.530760,1575.255740,177.201830,54.118240,3074.965330,704.642030,207.667400,9118.052730,1345.593140,551.825810,0,0,9,5
1954,0.129607,0,1042,1849,3,0.129600,99,2,1,0,3,723,0.000000,0,0,41,1,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1042,0.340210,0.671050,0.759730,60,0,0,0,40,1788.000000,1888.000000,0.083920,0.550000,5.050000,0.343330,0.343330,0.115000,1699.200000,4949.174320,4949.174320,14775.652340,0,0,0.079000,35.782530,40.000000,35.780000,0.194400,0.217330,0.217330,0,0,0.217840,0.233270,0.247170,307.361080,398.134980,651.930050,15731.222660,2239.299070,1452.105350,5459.365230,4104.065430,2476.387210,1605.785890,5701.260740,4303.132810,2521.875730,2277.880130,1357.426030,976.661870,136.712190,31.370250,3083.238280,453.328190,169.364000,8178.861330,1016.620480,327.639500,0,0,10,6
2615,0.248436,0,1272,1276,3,0.248400,99,3,0,1,3,722,0.000000,0,0,61,1,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,4002,0.511540,0.698160,0.827120,60,0,0,0,60,2048.400000,2340.000000,0.086090,0.350000,4.050000,0.343330,0.343330,0.115000,2106.000000,6134.040040,6134.040040,18313.042970,0,0,0.079000,32.952500,30.000000,32.950000,0.496800,0.452320,0.452320,0,0,0.462800,0.489260,0.525720,409.908360,630.524780,1238.075320,19790.044920,1969.677980,2787.534180,6927.473140,5491.105470,2614.253420,2992.488530,7351.600590,5806.367680,2710.267330,2068.574460,2278.508540,1985.218630,310.192690,82.214490,3945.230710,660.332520,255.017320,8442.863280,1348.758910,481.706790,0,0,16,
1975,0.251027,0,1049,1048,3,0.251000,99,3,0,1,3,723,0.000000,0,0,61,1,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,1044,0.436570,0.586800,0.772910,60,0,0,0,60,2048.400000,2340.000000,0.086090,0.350000,4.050000,0.343330,0.343330,0.115000,2106.000000,6134.040040,6134.040040,18313.042970,0,0,0.079000,27.398410,30.000000,27.400000,0.502000,0.549640,0.549640,0,0,0.556340,0.571840,0.617410,366.474460,551.287110,834.060360,17279.429690,1598.599000,2370.724120,5889.719240,5150.208980,2270.178710,2553.961430,6179.004390,5425.852540,2337.726070,1658.797000,1751.821900,1595.296880,311.837890,97.115000,3769.428960,644.418270,185.074870,6989.776860,1434.724850,499.935240,0,0,11,
2637,0.297668,0,1279,1283,3,0.297600,99,3,0,1,3,722,0.000000,0,0,61,1,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,4004,0.582440,0.721330,0.804770,60,0,0,0,60,2048.400000,2340.000000,0.086090,0.350000,4.050000,0.343330,0.343330,0.115000,2106.000000,6134.040040,6134.040040,18313.042970,0,0,0.079000,32.952500,30.000000,32.950000,0.595200,0.541910,0.541910,0,0,0.563160,0.592430,0.620610,402.668330,564.063290,1144.055050,20073.404300,1594.697020,3205.936280,7218.377440,5367.454100,2686.938720,3407.270510,7595.642580,5649.485840,2784.097170,1692.301030,2110.786620,2387.087650,328.823240,87.357060,3955.232670,625.725100,222.433140,8627.870120,1182.007810,546.080080,0,0,17,
4257,0.109082,0,1940,1054,3,0.109100,99,3,0,1,3,723,0.000000,0,0,61,1,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,1046,0.263680,0.387750,0.520250,60,0,0,0,60,2048.400000,2340.000000,0.086090,0.350000,4.050000,0.343330,0.343330,0.115000,2106.000000,6134.040040,6134.040040,18313.042970,0,0,0.079000,27.398410,30.000000,27.400000,0.218200,0.238910,0.238910,0,0,0.239280,0.240710,0.244830,300.852510,532.150150,775.807620,10946.058590,1064.308960,1392.099240,3811.544190,3386.050050,1292.055910,1542.525510,4083.000490,3652.125000,1355.731930,1117.080440,1608.810300,884.326480,159.545230,47.375000,2382.848880,348.766910,122.284280,4356.574710,784.338010,251.189070,0,0,12,
2009,0.213125,0,1059,1060,3,0.213100,99,1,1,0,3,723,0.000000,0,0,61,0,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,1050,0.143550,0.051470,0.079880,60,0,0,0,60,551.000000,630.000000,0.086090,0.350000,4.050000,0.343330,0.343330,0.115000,567.000000,1651.472290,1651.472290,4930.434570,0,0,0.079000,27.900790,30.000000,27.900000,0.426200,0.458280,0.458280,0,0,0.458340,0.458280,0.458290,6.820470,4.939000,4.150040,515.017270,0.000000,222.680250,143.838040,148.499010,0.000000,226.090480,145.913060,150.968510,0.000000,0.000000,15.909520,169.460890,28.084730,18.314150,95.189000,36.732000,11.639000,86.895260,40.610060,12.182670,0,0,13,
2658,0.210423,0,1286,1290,3,0.210400,99,3,0,1,3,722,0.000000,0,0,61,1,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,4006,0.661920,0.642070,0.720760,60,0,0,0,60,2048.400000,2340.000000,0.086090,0.350000,4.050000,0.343330,0.343330,0.115000,2106.000000,6134.040040,6134.040040,18313.042970,0,0,0.079000,32.952500,30.000000,32.950000,0.420800,0.383130,0.383130,0,0,0.408340,0.405420,0.418730,330.088960,540.348020,1021.494450,19203.792970,1908.923100,3707.163090,6406.481930,4789.536130,2391.689210,3872.207280,6760.946290,5059.709960,2475.594240,1981.301030,1891.931400,2850.096920,409.080780,117.896270,3473.828610,566.328980,209.030640,8106.745610,1073.479980,505.374330,0,0,18,
