"ID","Longitude","Latitude","TAZ_REG","TAZ_OLD05","TAZ_MPO","COUNTY","CENSUSTAZ","TAZ_BF","FIX","AREA","F_NETAREA","CBD","HM_ROOMS","AirSageDistrict"
2820,-80270721,25745429,3979.000000,0,1079,3.000000,"1208600001079",3879,0,7137020.00000000000,0.723800,0,90,61
2821,-80186635,25944598,3008.000000,0,108,3.000000,"1208600000108",2908,0,5236330.00000000000,0.722900,0,0,3
2822,-80280453,25741425,3980.000000,0,1080,3.000000,"1208600001080",3880,0,21297400.00000000000,0.816700,0,211,61
2823,-80268373,25738217,3981.000000,0,1081,3.000000,"1208600001081",3881,0,10605800.00000000000,0.646700,0,0,61
2824,-80258382,25738803,3982.000000,0,1082,3.000000,"1208600001082",3882,0,4817770.00000000000,0.670000,0,0,61
2825,-80256079,25738697,3983.000000,0,1083,3.000000,"1208600001083",3883,0,2663260.00000000000,0.706900,0,27,61
2826,-80250137,25738334,3984.000000,0,1084,3.000000,"1208600001084",3884,0,7308940.00000000000,0.701100,0,0,61
2827,-80242016,25740429,3985.000000,0,1085,3.000000,"1208600001085",3885,0,4548010.00000000000,0.704900,0,0,61
2828,-80241698,25730906,3986.000000,0,1086,3.000000,"1208600001086",3886,0,7174650.00000000000,0.737400,0,178,7
2829,-80241786,25737727,3987.000000,0,1087,3.000000,"1208600001087",3887,0,3198230.00000000000,0.737400,0,178,7
2830,-80236128,25729999,3988.000000,0,1088,3.000000,"1208600001088",3888,0,3772700.00000000000,0.848100,0,418,7
2832,-80181468,25939909,3009.000000,0,109,3.000000,"1208600000109",2909,0,8632790.00000000000,0.762000,0,0,3
2833,-80252097,25714053,3990.000000,0,1090,3.000000,"1208600001090",3890,0,8785840.00000000000,0.801200,0,0,7
2834,-80253325,25706944,3991.000000,0,1091,3.000000,"1208600001091",3891,0,4714700.00000000000,0.845700,0,0,7
2835,-80257279,25715775,3992.000000,0,1092,3.000000,"1208600001092",3892,0,13877900.00000000000,0.746100,0,0,7
2836,-80249873,25721414,3993.000000,0,1093,3.000000,"1208600001093",3893,0,3317080.00000000000,0.764000,0,0,7
2837,-80248738,25726727,3994.000000,0,1094,3.000000,"1208600001094",3894,0,4450380.00000000000,0.718200,0,19,7
2838,-80249698,25732511,3995.000000,0,1095,3.000000,"1208600001095",3895,0,6938540.00000000000,0.697300,0,12,7
2839,-80257564,25728531,3996.000000,0,1096,3.000000,"1208600001096",3896,0,6156500.00000000000,0.676000,0,0,7
2840,-80255985,25733482,3997.000000,0,1097,3.000000,"1208600001097",3897,0,1238480.00000000000,0.693500,0,0,61
2841,-80258994,25731150,3998.000000,0,1098,3.000000,"1208600001098",3898,0,3186430.00000000000,0.700900,0,0,61
2842,-80267697,25727173,3999.000000,0,1099,3.000000,"1208600001099",3899,0,14178200.00000000000,0.743900,0,0,61
2843,-80345886,25924212,2911.000000,0,11,3.000000,"1208600000011",2811,0,7623540.00000000000,0.681400,0,0,2
2844,-80182422,25933263,3010.000000,0,110,3.000000,"1208600000110",2910,0,8132990.00000000000,0.766600,0,0,3
2845,-80266053,25719812,4000.000000,0,1100,3.000000,"1208600001100",3900,0,10781600.00000000000,0.732600,0,25,7
2846,-80263925,25709445,4001.000000,0,1101,3.000000,"1208600001101",3901,0,2597860.00000000000,0.743400,0,0,7
2847,-80266987,25708690,4002.000000,0,1102,3.000000,"1208600001102",3902,0,4415520.00000000000,0.760400,0,0,7
2848,-80279309,25708338,4003.000000,0,1103,3.000000,"1208600001103",3903,0,5330810.00000000000,0.713500,0,40,7
2849,-80273135,25709600,4004.000000,0,1104,3.000000,"1208600001104",3904,0,7930040.00000000000,0.750500,0,0,7
2850,-80273856,25715784,4005.000000,0,1105,3.000000,"1208600001105",3905,0,6074240.00000000000,0.726400,0,121,7
2851,-80277274,25715903,4006.000000,0,1106,3.000000,"1208600001106",3906,0,2618390.00000000000,0.777300,0,0,61
2852,-80277181,25718241,4007.000000,0,1107,3.000000,"1208600001107",3907,0,8985960.00000000000,0.777300,0,0,61
2853,-80283000,25711659,4008.000000,0,1108,3.000000,"1208600001108",3908,0,2077620.00000000000,0.907000,0,0,61
2854,-80283521,25720984,4009.000000,0,1109,3.000000,"1208600001109",3909,0,5917860.00000000000,0.761200,0,0,61
2855,-80182286,25930028,3011.000000,0,111,3.000000,"1208600000111",2911,0,2554890.00000000000,0.734600,0,0,3
2856,-80278961,25728336,4010.000000,0,1110,3.000000,"1208600001110",3910,0,15491200.00000000000,0.829600,0,0,61
2857,-80290455,25730121,4011.000000,0,1111,3.000000,"1208600001111",3911,0,7381620.00000000000,0.736200,0,0,61
2858,-80298636,25729808,4012.000000,0,1112,3.000000,"1208600001112",3912,0,7395180.00000000000,0.739200,0,0,61
2859,-80298348,25722266,4013.000000,0,1113,3.000000,"1208600001113",3913,0,7421550.00000000000,0.782700,0,0,61
2860,-80290139,25722304,4014.000000,0,1114,3.000000,"1208600001114",3914,0,7604110.00000000000,0.775700,0,0,61
2861,-80289888,25715070,4015.000000,0,1115,3.000000,"1208600001115",3915,0,6912560.00000000000,0.736600,0,0,61
2862,-80298019,25714789,4016.000000,0,1116,3.000000,"1208600001116",3916,0,7195570.00000000000,0.744000,0,0,61
2863,-80297664,25707533,4017.000000,0,1117,3.000000,"1208600001117",3917,0,6987590.00000000000,0.767300,0,0,61
2864,-80289657,25707938,4018.000000,0,1118,3.000000,"1208600001118",3918,0,6025990.00000000000,0.687600,0,92,61
2865,-80287658,25706063,4019.000000,0,1119,3.000000,"1208600001119",3919,0,934446.00000000000,0.567300,0,0,7
2866,-80196513,25934908,3012.000000,0,112,3.000000,"1208600000112",2912,0,12792300.00000000000,0.670500,0,0,3
2867,-80289268,25701847,4020.000000,0,1120,3.000000,"1208600001120",3920,0,3391910.00000000000,0.707900,0,0,7
2868,-80295776,25699742,4021.000000,0,1121,3.000000,"1208600001121",3921,0,5852090.00000000000,0.764100,0,0,61
2869,-80304377,25692736,4022.000000,0,1122,3.000000,"1208600001122",3922,0,999596.00000000000,0.801400,0,103,61
2870,-80303002,25693016,4023.000000,0,1123,3.000000,"1208600001123",3923,0,945873.00000000000,0.687800,0,0,7
2871,-80305090,25690359,4024.000000,0,1124,3.000000,"1208600001124",3924,0,1526220.00000000000,0.762800,0,0,7
2872,-80293869,25689825,4025.000000,0,1125,3.000000,"1208600001125",3925,0,2474380.00000000000,0.800200,0,0,7
2873,-80296997,25695989,4026.000000,0,1126,3.000000,"1208600001126",3926,0,7268640.00000000000,0.733100,0,0,7
2874,-80289013,25694859,4027.000000,0,1127,3.000000,"1208600001127",3927,0,9849850.00000000000,0.743600,0,0,7
2875,-80281025,25697226,4028.000000,0,1128,3.000000,"1208600001128",3928,0,14568300.00000000000,0.799000,0,0,7
2876,-80271968,25697511,4029.000000,0,1129,3.000000,"1208600001129",3929,0,14786200.00000000000,0.825200,0,0,7
2877,-80202573,25931901,3013.000000,0,113,3.000000,"1208600000113",2913,0,7372010.00000000000,0.592400,0,0,3
2878,-80265034,25700559,4030.000000,0,1130,3.000000,"1208600001130",3930,0,5781610.00000000000,0.771300,0,0,7
2880,-80293851,25685583,4032.000000,0,1132,3.000000,"1208600001132",3932,0,15961700.00000000000,0.856400,0,0,7
2881,-80267665,25670519,4033.000000,0,1133,3.000000,"1208600001133",3933,0,41602700.00000000000,0.057100,0,0,7
2882,-80275853,25657081,4034.000000,0,1134,3.000000,"1208600001134",3934,0,25322500.00000000000,0.738600,0,0,7
2883,-80276352,25642175,4035.000000,0,1135,3.000000,"1208600001135",3935,0,22327300.00000000000,0.262400,0,0,7
